id,age,filiere,annee,logement,stress_score,consomme_cannabis,frequence_cannabis
S0125,25,Lettres,1,famille,7,1,hebdo
S0126,19,Médecine,2,famille,4,0,mensuel
S0127,18,Médecine,3,résidence,8,1,hebdo
S0128,21,Économie,2,famille,5,0,jamais
S0129,21,Lettres,3,résidence,1,0,jamais
S0130,21,Droit,5,résidence,4,0,jamais
S0131,22,Sciences,4,colocation,3,1,mensuel
S0132,18,Sciences,5,colocation,9,0,jamais
S0133,22,Économie,2,colocation,8,1,rare
S0134,24,Médecine,4,résidence,1,0,jamais
S0135,22,Médecine,3,seul,6,1,mensuel
S0136,18,Sciences,4,résidence,9,0,jamais
S0137,18,Économie,1,résidence,7,0,jamais
S0138,24,Lettres,4,seul,4,0,jamais
S0139,18,Médecine,1,seul,1,0,jamais
S0140,25,Lettres,4,seul,2,0,jamais
S0141,18,Médecine,1,famille,5,1,quotidien
S0142,21,Médecine,2,famille,5,0,jamais
S0143,25,Info,5,colocation,8,1,rare
S0144,25,Médecine,3,résidence,6,0,mensuel
S0145,24,Droit,4,colocation,8,1,mensuel
S0146,20,Économie,5,colocation,2,0,jamais
S0147,20,Économie,3,résidence,3,0,jamais
S0148,18,Lettres,3,famille,6,1,hebdo
S0149,25,Médecine,1,colocation,3,1,hebdo
S0150,20,Droit,2,résidence,6,0,jamais
S0151,20,Lettres,2,résidence,6,0,mensuel
S0152,18,Info,5,famille,2,1,mensuel
S0153,20,Lettres,2,résidence,7,0,jamais
S0154,22,Lettres,4,seul,2,1,rare
S0155,19,Médecine,2,colocation,6,1,mensuel
S0156,24,Info,5,colocation,1,0,jamais
S0157,19,Lettres,2,colocation,3,0,jamais
S0158,18,Droit,4,famille,2,0,mensuel
S0159,21,Droit,1,résidence,7,0,jamais
S0160,24,Économie,5,famille,4,0,jamais
S0161,18,Info,1,colocation,8,1,rare
S0162,25,Info,1,résidence,6,0,jamais
S0163,21,Économie,1,seul,4,0,jamais
S0164,19,Lettres,3,famille,5,0,rare
S0165,18,Info,3,famille,9,0,jamais
S0166,25,Droit,1,seul,7,0,jamais
S0167,24,Droit,5,seul,9,0,mensuel
S0168,24,Médecine,4,famille,7,0,jamais
S0169,23,Info,4,famille,1,0,rare
S0170,25,Lettres,2,famille,8,1,hebdo
S0171,22,Économie,5,famille,4,0,jamais
S0172,20,Économie,3,famille,3,0,jamais
S0173,21,Lettres,1,famille,7,0,jamais
S0174,25,Sciences,2,résidence,3,0,jamais
S0175,23,Médecine,4,seul,8,0,jamais
S0176,20,Économie,3,seul,6,0,jamais
S0177,20,Info,3,résidence,5,0,jamais
S0178,18,Médecine,1,famille,4,0,jamais
S0179,20,Info,4,résidence,8,0,hebdo
S0180,22,Droit,5,résidence,8,1,hebdo
S0181,24,Médecine,3,famille,1,0,jamais
S0182,23,Économie,1,résidence,9,0,jamais
S0183,20,Médecine,5,famille,5,0,mensuel
S0184,18,Médecine,4,famille,4,0,rare
S0185,22,Médecine,3,colocation,6,1,hebdo
S0186,19,Sciences,5,résidence,6,0,jamais
S0187,24,Médecine,5,résidence,2,0,jamais
S0188,24,Info,5,famille,8,0,jamais
S0189,23,Droit,3,seul,7,0,jamais
S0190,24,Lettres,3,famille,1,0,rare
S0191,20,Médecine,2,résidence,5,0,jamais
S0192,18,Économie,4,famille,6,1,hebdo
S0193,24,Médecine,1,colocation,4,0,mensuel
S0194,24,Économie,5,famille,2,0,jamais
S0195,19,Info,2,résidence,4,0,jamais
S0196,19,Économie,1,famille,1,0,jamais
S0197,21,Lettres,2,colocation,7,0,hebdo
S0198,22,Droit,3,seul,2,0,jamais
S0199,20,Économie,5,résidence,2,1,quotidien
S0200,24,Économie,1,famille,9,0,rare
S0201,25,Droit,1,seul,5,0,jamais
S0202,24,Lettres,1,résidence,2,1,hebdo
S0203,18,Médecine,1,seul,9,1,quotidien
S0204,21,Économie,1,famille,9,0,jamais
S0205,22,Droit,2,résidence,1,1,quotidien
S0206,25,Info,5,résidence,3,0,hebdo
S0207,21,Droit,3,famille,4,1,mensuel
S0208,23,Info,3,résidence,7,0,jamais
S0209,22,Lettres,3,colocation,4,0,hebdo
S0210,24,Médecine,3,résidence,2,1,hebdo
S0211,24,Droit,2,famille,7,0,jamais
S0212,22,Sciences,4,résidence,6,1,rare
S0213,24,Économie,5,seul,3,1,hebdo
S0214,20,Lettres,1,seul,6,0,hebdo
S0215,22,Droit,4,seul,6,0,mensuel
S0216,21,Économie,3,famille,5,0,jamais
S0217,22,Droit,4,résidence,4,0,jamais
S0218,25,Info,5,famille,1,0,jamais
S0219,24,Droit,1,résidence,6,1,quotidien
S0220,20,Sciences,1,résidence,2,0,jamais
S0221,20,Droit,5,résidence,3,0,jamais
S0222,23,Droit,5,colocation,8,1,rare
S0223,21,Sciences,3,famille,6,0,jamais
S0224,19,Lettres,1,famille,3,0,hebdo
S0225,19,Droit,4,colocation,7,1,mensuel
S0226,22,Sciences,2,résidence,4,0,jamais
S0227,23,Économie,2,seul,9,1,hebdo
S0228,18,Info,5,colocation,5,1,quotidien
S0229,22,Info,3,colocation,3,1,rare
S0230,23,Droit,2,résidence,2,0,jamais
S0231,21,Lettres,1,famille,2,0,jamais
S0232,21,Lettres,5,famille,3,0,mensuel
S0233,21,Économie,4,résidence,2,1,mensuel
S0234,21,Droit,5,résidence,4,1,rare
S0235,21,Info,4,famille,2,0,jamais
S0236,23,Lettres,5,famille,9,0,rare
S0237,23,Droit,5,résidence,2,0,jamais
S0238,20,Lettres,5,seul,9,0,mensuel
S0239,25,Sciences,4,résidence,6,1,rare
S0240,19,Lettres,4,colocation,1,0,jamais
S0241,24,Info,5,seul,4,1,mensuel
S0242,21,Médecine,2,colocation,1,1,hebdo
S0243,18,Économie,3,famille,6,0,jamais
S0244,24,Économie,3,colocation,4,0,mensuel
S0245,23,Info,3,résidence,3,0,jamais
S0246,18,Lettres,4,seul,3,0,jamais
S0247,18,Droit,4,colocation,9,1,hebdo
S0248,18,Lettres,2,seul,6,1,hebdo
S0249,20,Info,3,résidence,9,1,rare
S0250,23,Économie,3,résidence,5,0,jamais
S0251,18,Lettres,5,résidence,2,0,hebdo
S0252,21,Économie,4,famille,8,1,rare
S0253,22,Droit,3,colocation,5,0,jamais
S0254,18,Économie,2,seul,2,0,quotidien
S0255,20,Économie,2,colocation,4,0,jamais
S0256,24,Médecine,3,seul,9,0,jamais
S0257,23,Médecine,4,résidence,4,0,jamais
S0258,25,Sciences,2,seul,4,0,jamais
S0259,20,Médecine,5,famille,2,1,rare
S0260,18,Économie,2,famille,6,0,jamais
S0261,23,Info,1,famille,2,0,jamais
S0262,22,Économie,1,famille,7,0,rare
S0263,18,Info,4,famille,3,1,hebdo
S0264,20,Info,3,résidence,3,0,jamais
S0265,19,Médecine,4,résidence,5,0,jamais
S0266,21,Lettres,4,seul,3,0,jamais
S0267,25,Droit,4,famille,2,0,jamais
S0268,24,Médecine,4,famille,9,0,hebdo
S0269,20,Médecine,5,colocation,2,1,hebdo
S0270,23,Lettres,5,résidence,2,1,hebdo
S0271,25,Droit,2,résidence,8,0,hebdo
S0272,25,Économie,1,famille,9,1,rare
S0273,25,Sciences,4,colocation,7,0,jamais
S0274,18,Sciences,2,résidence,3,1,mensuel
S0275,21,Économie,1,colocation,9,1,quotidien
S0276,18,Médecine,3,résidence,3,1,mensuel
S0277,23,Droit,5,colocation,5,0,jamais
S0278,18,Médecine,1,résidence,9,0,mensuel
S0279,19,Info,3,famille,3,0,jamais
S0280,21,Médecine,1,résidence,7,0,jamais
S0281,21,Médecine,5,colocation,1,0,rare
S0282,23,Économie,5,résidence,4,0,jamais
S0283,24,Économie,2,résidence,4,0,jamais
S0284,19,Économie,4,colocation,7,0,jamais
S0285,20,Sciences,1,colocation,8,1,rare
S0286,18,Info,1,famille,1,0,mensuel
S0287,22,Économie,3,résidence,5,0,jamais
S0288,18,Droit,5,famille,7,0,jamais
S0289,25,Sciences,1,seul,4,0,jamais
S0290,18,Lettres,5,famille,4,1,mensuel
S0291,20,Droit,1,résidence,4,0,jamais
S0292,18,Droit,2,colocation,6,1,mensuel
S0293,19,Économie,4,résidence,7,1,mensuel
S0294,19,Lettres,1,résidence,2,1,mensuel
S0295,21,Lettres,5,seul,5,0,jamais
S0296,23,Sciences,2,résidence,4,1,mensuel
S0297,24,Lettres,1,colocation,3,1,hebdo
S0298,22,Info,3,famille,7,0,jamais
S0299,25,Économie,4,famille,6,0,jamais
S0300,18,Lettres,1,colocation,7,1,hebdo
S0301,18,Sciences,2,résidence,5,0,jamais
S0302,20,Info,3,résidence,6,1,quotidien
S0303,23,Médecine,2,colocation,5,0,jamais
S0304,19,Médecine,2,résidence,7,0,jamais
S0305,22,Info,3,colocation,2,0,rare
S0306,21,Sciences,2,résidence,5,0,jamais
S0307,19,Info,3,résidence,6,0,jamais
S0308,25,Économie,1,colocation,6,0,jamais
S0309,23,Économie,3,résidence,5,0,jamais
S0310,25,Médecine,3,colocation,7,0,mensuel
S0311,24,Lettres,4,famille,8,1,hebdo
S0312,21,Sciences,3,famille,7,0,hebdo
S0313,24,Médecine,3,résidence,5,0,jamais
S0314,20,Lettres,1,résidence,1,1,mensuel
S0315,25,Lettres,4,résidence,5,0,jamais
S0316,20,Économie,5,famille,2,0,jamais
S0317,18,Droit,1,famille,5,1,hebdo
S0318,24,Droit,1,résidence,5,1,quotidien
S0319,23,Info,5,seul,2,0,jamais
S0320,25,Économie,3,résidence,5,0,jamais
S0321,22,Lettres,2,colocation,4,1,hebdo
S0322,21,Sciences,4,famille,1,0,jamais
S0323,19,Droit,2,seul,3,0,jamais
S0324,23,Lettres,5,famille,1,1,hebdo
S0325,23,Droit,1,famille,5,0,jamais
S0326,20,Droit,1,résidence,4,0,jamais
S0327,24,Droit,4,famille,7,0,jamais
S0328,25,Sciences,1,résidence,5,1,quotidien
S0329,25,Économie,1,seul,4,0,mensuel
S0330,18,Sciences,4,colocation,2,0,jamais
S0331,18,Médecine,4,famille,4,0,jamais
S0332,21,Lettres,5,colocation,2,0,quotidien
S0333,20,Économie,1,famille,8,0,jamais
S0334,23,Économie,1,colocation,3,1,quotidien
S0335,25,Économie,5,famille,9,0,jamais
S0336,22,Économie,3,résidence,4,0,jamais
S0337,20,Sciences,3,résidence,6,1,hebdo
S0338,21,Économie,3,résidence,5,0,hebdo
S0339,21,Info,5,résidence,1,1,mensuel
S0340,20,Lettres,1,seul,9,0,jamais
S0341,21,Économie,5,résidence,1,1,mensuel
S0342,20,Lettres,5,seul,8,0,jamais
S0343,19,Info,3,résidence,9,1,hebdo
S0344,20,Info,2,résidence,9,0,jamais
S0345,24,Lettres,1,famille,1,0,hebdo
S0346,20,Droit,3,famille,2,0,jamais
S0347,21,Médecine,2,colocation,1,0,jamais
S0348,25,Droit,2,colocation,2,0,jamais
S0349,24,Droit,4,famille,8,1,mensuel
S0350,21,Sciences,1,résidence,5,0,jamais
S0351,18,Droit,2,seul,7,1,hebdo
S0352,18,Économie,3,seul,2,0,jamais
S0353,25,Sciences,4,famille,8,0,hebdo
S0354,25,Sciences,1,résidence,6,0,quotidien
S0355,24,Info,5,famille,8,0,jamais
S0356,19,Droit,3,résidence,1,1,quotidien
S0357,25,Info,2,résidence,1,1,hebdo
S0358,18,Lettres,2,résidence,7,0,jamais
S0359,20,Médecine,3,colocation,8,0,jamais
S0360,21,Sciences,2,seul,3,0,jamais
S0361,18,Lettres,4,famille,5,1,hebdo
S0362,18,Lettres,1,famille,1,0,mensuel
S0363,19,Économie,4,colocation,7,0,jamais
S0364,24,Médecine,2,résidence,5,1,quotidien
S0365,24,Lettres,5,colocation,8,0,jamais
S0366,23,Lettres,1,seul,8,0,jamais
S0367,19,Médecine,1,résidence,9,1,quotidien
S0368,20,Médecine,3,seul,7,1,mensuel
S0369,24,Lettres,3,colocation,1,0,jamais
S0370,21,Médecine,5,colocation,3,0,jamais
S0371,25,Lettres,1,famille,8,0,jamais
S0372,19,Lettres,5,colocation,3,0,jamais
S0373,25,Économie,3,seul,8,0,jamais
S0374,18,Droit,3,seul,1,0,jamais
S0375,21,Lettres,1,colocation,5,0,hebdo
S0376,21,Info,4,résidence,4,0,jamais
S0377,18,Sciences,2,colocation,5,0,jamais
S0378,19,Droit,3,seul,8,0,jamais
S0379,18,Droit,3,résidence,4,1,quotidien
S0380,25,Droit,4,famille,4,0,jamais
S0381,23,Économie,4,famille,3,1,mensuel
S0382,21,Lettres,5,famille,7,1,rare
S0383,22,Économie,5,résidence,3,0,jamais
S0384,22,Lettres,2,famille,3,0,rare
S0385,25,Économie,2,seul,5,0,jamais
S0386,20,Économie,1,résidence,5,0,jamais
S0387,24,Sciences,5,résidence,6,0,jamais
S0388,18,Info,3,seul,8,0,jamais
S0389,18,Économie,5,résidence,6,0,hebdo
S0390,20,Sciences,3,seul,1,1,quotidien
S0391,20,Médecine,4,colocation,8,0,jamais
S0392,25,Info,5,résidence,8,1,quotidien
S0393,25,Économie,4,seul,9,0,rare
S0394,20,Droit,2,colocation,9,1,mensuel
S0395,21,Médecine,2,colocation,2,0,jamais
S0396,25,Médecine,1,colocation,2,0,jamais
S0397,23,Sciences,5,colocation,3,0,rare
S0398,25,Médecine,4,résidence,1,0,quotidien
S0399,18,Info,3,colocation,4,0,rare
S0400,25,Économie,2,seul,4,1,quotidien
S0401,21,Économie,2,résidence,9,0,jamais
S0402,20,Droit,3,famille,9,0,mensuel
S0403,18,Sciences,4,résidence,9,1,hebdo
S0404,25,Droit,4,famille,7,1,mensuel
S0405,21,Médecine,5,résidence,2,0,jamais
S0406,23,Droit,5,seul,5,0,rare
S0407,25,Info,1,colocation,4,1,rare
S0408,21,Économie,2,résidence,8,0,rare
S0409,23,Médecine,5,résidence,2,1,rare
S0410,20,Droit,4,résidence,6,1,mensuel
S0411,25,Sciences,3,colocation,5,1,hebdo
S0412,23,Info,4,résidence,2,1,mensuel
S0413,18,Info,2,famille,1,0,jamais
S0414,20,Droit,4,colocation,8,1,mensuel
S0415,18,Économie,1,résidence,2,1,quotidien
S0416,22,Droit,2,famille,7,0,jamais
S0417,19,Médecine,3,famille,9,1,quotidien
S0418,25,Droit,1,résidence,9,0,jamais
S0419,23,Info,2,résidence,8,1,quotidien
S0420,19,Droit,3,résidence,9,1,quotidien
S0421,19,Économie,1,famille,2,0,jamais
S0422,23,Sciences,1,famille,6,0,jamais
S0423,20,Lettres,2,colocation,4,0,jamais
S0424,25,Droit,5,famille,4,0,jamais
S0425,22,Économie,1,famille,5,1,rare
S0426,18,Économie,1,colocation,3,0,jamais
S0427,21,Sciences,3,seul,1,0,jamais
S0428,18,Info,4,résidence,8,1,mensuel
S0429,21,Économie,2,résidence,5,0,jamais
S0430,18,Économie,2,résidence,3,0,jamais
S0431,23,Économie,5,résidence,7,1,quotidien
S0432,22,Économie,5,colocation,7,1,mensuel
S0433,25,Médecine,2,seul,1,0,jamais
S0434,21,Médecine,5,résidence,9,0,jamais
S0435,25,Info,3,résidence,2,0,mensuel
S0436,25,Droit,2,colocation,5,0,hebdo
S0437,25,Économie,5,seul,5,0,mensuel
S0438,24,Sciences,2,résidence,8,0,quotidien
S0439,20,Droit,4,colocation,8,1,rare
S0440,18,Sciences,1,résidence,7,1,hebdo
S0441,25,Droit,2,résidence,7,0,rare
S0442,18,Info,1,seul,6,1,mensuel
S0443,25,Économie,5,seul,6,1,quotidien
S0444,21,Économie,1,résidence,9,1,rare
S0445,20,Lettres,2,seul,6,0,jamais
S0446,20,Sciences,4,famille,2,0,jamais
S0447,23,Droit,5,seul,2,0,jamais
S0448,24,Droit,2,colocation,5,0,jamais
S0449,23,Médecine,5,colocation,4,0,jamais
S0450,23,Lettres,3,colocation,2,1,mensuel
S0451,23,Médecine,1,famille,3,1,mensuel
S0452,23,Médecine,3,résidence,7,0,mensuel
S0453,23,Médecine,2,résidence,8,0,jamais
S0454,22,Sciences,4,résidence,6,1,mensuel
S0455,20,Sciences,5,famille,5,0,hebdo
S0456,23,Info,1,résidence,1,0,mensuel
S0457,25,Info,5,famille,8,1,mensuel
S0458,20,Médecine,2,seul,3,0,rare
S0459,20,Lettres,5,résidence,6,0,rare
S0460,19,Droit,1,famille,3,0,mensuel
S0461,22,Sciences,2,colocation,7,1,mensuel
S0462,23,Lettres,5,seul,7,0,jamais
S0463,18,Économie,4,résidence,9,0,jamais
S0464,21,Sciences,2,famille,5,0,jamais
S0465,24,Sciences,2,famille,8,0,jamais
S0466,25,Info,4,seul,8,0,jamais
S0467,18,Droit,3,famille,1,0,jamais
S0468,22,Droit,1,colocation,5,0,jamais
S0469,21,Économie,3,famille,3,1,mensuel
S0470,22,Économie,5,seul,1,0,mensuel
S0471,25,Sciences,4,colocation,4,0,jamais
S0472,20,Médecine,3,résidence,8,0,jamais
S0473,21,Info,2,seul,3,0,rare
S0474,20,Info,5,famille,2,0,jamais
S0475,25,Sciences,5,famille,9,0,jamais
S0476,18,Lettres,3,résidence,5,0,rare
S0477,25,Médecine,3,famille,7,0,jamais
S0478,18,Sciences,4,colocation,2,0,rare
S0479,21,Médecine,1,famille,9,1,mensuel
S0480,21,Médecine,3,résidence,9,1,mensuel
S0481,23,Médecine,3,famille,4,0,jamais
S0482,22,Sciences,2,seul,4,0,jamais
S0483,23,Info,5,résidence,6,0,hebdo
S0484,22,Info,1,seul,6,0,jamais
S0485,23,Médecine,2,colocation,1,0,jamais
S0486,20,Lettres,4,seul,9,1,mensuel
S0487,21,Droit,4,famille,2,0,jamais
S0488,18,Sciences,3,colocation,5,0,jamais
S0489,22,Droit,3,famille,9,1,mensuel
S0490,25,Lettres,4,seul,4,0,jamais
S0491,22,Sciences,3,colocation,3,1,mensuel
S0492,18,Médecine,1,résidence,7,0,jamais
S0493,23,Info,3,famille,6,0,jamais
S0494,22,Droit,5,famille,8,0,jamais
S0495,24,Économie,3,famille,3,0,mensuel
S0496,20,Économie,2,famille,5,1,rare
S0497,21,Lettres,1,colocation,4,0,jamais
S0498,18,Médecine,2,famille,4,1,mensuel
S0499,21,Droit,2,résidence,4,0,jamais
