source,target,type,intensite
S0160,S0425,amitie,2
S0088,S0329,amitie,1
S0421,S0102,amitie,4
S0148,S0490,amitie,1
S0323,S0198,amitie,1
S0290,S0311,amitie,1
S0466,S0021,cours_partage,3
S0301,S0497,colocation,1
S0321,S0073,amitie,1
S0288,S0166,colocation,2
S0052,S0451,amitie,1
S0476,S0270,cours_partage,3
S0436,S0253,amitie,4
S0290,S0236,amitie,4
S0397,S0258,amitie,4
S0142,S0281,cours_partage,4
S0290,S0138,colocation,1
S0492,S0310,cours_partage,3
S0169,S0245,cours_partage,4
S0289,S0466,cours_partage,3
S0200,S0341,amitie,3
S0076,S0144,cours_partage,3
S0208,S0179,amitie,2
S0401,S0244,cours_partage,2
S0301,S0390,cours_partage,1
S0342,S0311,cours_partage,2
S0350,S0491,amitie,4
S0079,S0475,amitie,2
S0336,S0101,amitie,4
S0105,S0271,amitie,4
S0269,S0257,amitie,2
S0419,S0428,amitie,3
S0494,S0159,cours_partage,3
S0026,S0389,amitie,1
S0043,S0185,amitie,1
S0030,S0486,amitie,1
S0391,S0017,amitie,1
S0267,S0093,amitie,3
S0017,S0042,amitie,1
S0308,S0494,cours_partage,3
S0310,S0256,cours_partage,3
S0095,S0042,amitie,3
S0104,S0399,cours_partage,2
S0286,S0169,colocation,3
S0227,S0263,amitie,3
S0010,S0096,amitie,4
S0449,S0177,colocation,3
S0424,S0002,amitie,1
S0350,S0379,colocation,2
S0171,S0106,amitie,2
S0199,S0171,amitie,2
S0433,S0084,colocation,3
S0253,S0356,amitie,3
S0286,S0179,amitie,1
S0089,S0464,colocation,1
S0427,S0079,colocation,1
S0006,S0149,amitie,4
S0034,S0256,amitie,2
S0086,S0134,cours_partage,4
S0023,S0133,amitie,3
S0099,S0488,amitie,2
S0334,S0163,colocation,2
S0045,S0162,cours_partage,2
S0418,S0062,cours_partage,1
S0057,S0422,colocation,2
S0365,S0059,cours_partage,1
S0002,S0410,cours_partage,1
S0191,S0097,amitie,4
S0073,S0355,amitie,1
S0327,S0161,amitie,1
S0335,S0199,cours_partage,3
S0331,S0184,colocation,3
S0007,S0482,colocation,1
S0078,S0043,amitie,3
S0309,S0408,amitie,2
S0400,S0192,colocation,3
S0180,S0353,cours_partage,2
S0011,S0236,amitie,4
S0384,S0101,cours_partage,2
S0172,S0496,amitie,4
S0388,S0263,amitie,3
S0376,S0473,amitie,4
S0407,S0009,cours_partage,2
S0073,S0188,colocation,3
S0089,S0136,colocation,4
S0419,S0412,amitie,2
S0442,S0111,amitie,2
S0439,S0002,colocation,2
S0074,S0342,amitie,3
S0189,S0249,cours_partage,4
S0221,S0175,colocation,1
S0304,S0178,cours_partage,1
S0221,S0311,amitie,2
S0228,S0407,amitie,4
S0012,S0440,amitie,2
S0153,S0039,cours_partage,4
S0297,S0010,cours_partage,2
S0231,S0164,amitie,1
S0450,S0113,colocation,4
S0031,S0022,colocation,1
S0359,S0480,amitie,4
S0175,S0181,amitie,3
S0099,S0057,cours_partage,2
S0192,S0160,colocation,3
S0208,S0082,colocation,1
S0443,S0272,colocation,1
S0214,S0068,amitie,2
S0011,S0443,cours_partage,3
S0460,S0029,cours_partage,3
S0231,S0382,colocation,4
S0105,S0107,amitie,2
S0342,S0236,cours_partage,3
S0025,S0095,amitie,1
S0448,S0338,amitie,1
S0186,S0381,colocation,3
S0020,S0374,amitie,4
S0078,S0391,colocation,4
S0021,S0241,amitie,1
S0074,S0462,amitie,2
S0066,S0148,amitie,3
S0094,S0448,amitie,2
S0109,S0231,colocation,3
S0355,S0003,amitie,1
S0364,S0452,amitie,2
S0439,S0404,cours_partage,2
S0436,S0327,colocation,3
S0033,S0373,amitie,1
S0224,S0315,amitie,3
S0002,S0028,amitie,2
S0200,S0415,amitie,3
S0143,S0392,colocation,4
S0192,S0486,amitie,3
S0133,S0099,cours_partage,2
S0452,S0317,cours_partage,4
S0254,S0092,amitie,2
S0074,S0315,amitie,4
S0393,S0290,amitie,2
S0362,S0214,colocation,1
S0131,S0312,cours_partage,3
S0457,S0080,amitie,2
S0088,S0470,amitie,3
S0239,S0116,amitie,3
S0480,S0043,amitie,3
S0490,S0295,amitie,2
S0496,S0115,colocation,1
S0276,S0472,colocation,3
S0077,S0129,amitie,2
S0015,S0304,cours_partage,2
S0228,S0012,amitie,1
S0136,S0387,amitie,1
S0340,S0358,cours_partage,1
S0155,S0094,amitie,3
S0321,S0077,amitie,2
S0313,S0015,colocation,4
S0113,S0223,cours_partage,4
S0088,S0279,amitie,1
S0169,S0080,amitie,2
S0184,S0466,cours_partage,1
S0108,S0177,amitie,1
S0032,S0349,amitie,3
S0091,S0345,amitie,4
S0019,S0217,amitie,3
S0113,S0427,cours_partage,4
S0199,S0373,cours_partage,4
S0113,S0050,cours_partage,2
S0205,S0206,amitie,4
S0155,S0364,amitie,1
S0036,S0230,amitie,3
S0284,S0102,amitie,3
S0238,S0297,cours_partage,3
S0280,S0126,amitie,2
S0172,S0336,cours_partage,4
S0205,S0253,amitie,2
S0488,S0387,colocation,1
S0415,S0408,cours_partage,2
S0197,S0332,cours_partage,4
S0495,S0470,amitie,4
S0289,S0007,amitie,1
S0051,S0037,cours_partage,1
S0028,S0404,colocation,1
S0016,S0433,amitie,3
S0282,S0322,cours_partage,3
S0110,S0372,amitie,1
S0122,S0440,amitie,4
S0462,S0425,amitie,3
S0420,S0196,colocation,1
S0253,S0394,cours_partage,2
S0291,S0020,cours_partage,2
S0135,S0347,cours_partage,2
S0069,S0465,colocation,1
S0236,S0384,amitie,4
S0086,S0244,cours_partage,3
S0305,S0419,cours_partage,1
S0369,S0370,colocation,1
S0126,S0051,cours_partage,4
S0092,S0227,amitie,2
S0162,S0165,amitie,1
S0125,S0294,cours_partage,4
S0000,S0293,amitie,4
S0489,S0019,colocation,1
S0245,S0376,amitie,3
S0241,S0249,amitie,2
S0265,S0178,cours_partage,2
S0136,S0122,colocation,4
S0171,S0192,cours_partage,1
S0484,S0415,amitie,4
S0439,S0077,amitie,2
S0404,S0346,amitie,2
S0259,S0184,cours_partage,1
S0467,S0189,cours_partage,2
S0046,S0114,colocation,4
S0164,S0138,colocation,4
S0018,S0234,amitie,2
S0259,S0102,amitie,3
S0213,S0172,amitie,3
S0200,S0023,amitie,1
S0304,S0441,cours_partage,3
S0225,S0425,cours_partage,1
S0227,S0105,colocation,1
S0261,S0162,amitie,4
S0311,S0362,amitie,4
S0444,S0057,cours_partage,4
S0125,S0314,amitie,4
S0105,S0113,amitie,1
S0023,S0163,cours_partage,1
S0285,S0344,amitie,4
S0127,S0013,amitie,4
S0010,S0482,amitie,3
S0158,S0015,amitie,2
S0314,S0071,amitie,4
S0286,S0156,cours_partage,2
S0143,S0483,amitie,1
S0341,S0227,amitie,4
S0165,S0009,amitie,3
S0089,S0012,amitie,1
S0301,S0121,colocation,2
S0493,S0082,colocation,2
S0034,S0023,amitie,4
S0468,S0239,amitie,4
S0362,S0345,cours_partage,3
S0499,S0129,amitie,1
S0317,S0327,cours_partage,2
S0304,S0227,amitie,1
S0464,S0313,amitie,1
S0099,S0053,colocation,4
S0013,S0370,amitie,4
S0030,S0109,cours_partage,4
S0263,S0245,amitie,1
S0026,S0165,amitie,2
S0250,S0204,amitie,4
S0289,S0306,cours_partage,3
S0158,S0418,amitie,1
S0067,S0477,cours_partage,4
S0381,S0213,amitie,4
S0263,S0392,amitie,2
S0421,S0182,cours_partage,1
S0488,S0122,amitie,2
S0456,S0474,cours_partage,4
S0112,S0381,amitie,2
S0169,S0263,amitie,4
S0181,S0293,amitie,4
S0199,S0070,amitie,1
S0266,S0117,amitie,2
S0402,S0059,cours_partage,4
S0192,S0182,amitie,3
S0011,S0094,amitie,2
S0399,S0059,amitie,1
S0318,S0159,cours_partage,2
S0104,S0099,colocation,1
S0155,S0405,amitie,1
S0302,S0474,amitie,2
S0459,S0294,cours_partage,2
S0175,S0184,amitie,1
S0058,S0438,amitie,2
S0367,S0094,colocation,1
S0269,S0204,amitie,4
S0172,S0389,colocation,3
S0302,S0045,amitie,3
S0366,S0423,colocation,1
S0065,S0186,amitie,3
S0402,S0115,cours_partage,4
S0009,S0245,amitie,2
S0056,S0370,amitie,4
S0034,S0112,amitie,3
S0122,S0048,cours_partage,3
S0419,S0300,cours_partage,2
S0408,S0243,amitie,2
S0249,S0355,colocation,1
S0273,S0454,colocation,2
S0298,S0339,amitie,1
S0182,S0137,amitie,3
S0214,S0077,amitie,2
S0011,S0134,amitie,3
S0073,S0344,amitie,2
S0330,S0190,cours_partage,2
S0150,S0158,amitie,2
S0394,S0081,amitie,1
S0175,S0391,amitie,2
S0191,S0492,colocation,3
S0155,S0095,amitie,2
S0111,S0474,amitie,3
S0052,S0481,colocation,3
S0333,S0027,amitie,4
S0380,S0489,colocation,1
S0346,S0020,amitie,1
S0451,S0434,amitie,2
S0148,S0240,amitie,4
S0272,S0196,cours_partage,2
S0190,S0140,amitie,4
S0254,S0308,amitie,4
S0477,S0024,amitie,3
S0293,S0250,amitie,1
S0374,S0420,amitie,1
S0097,S0449,colocation,2
S0248,S0361,amitie,4
S0487,S0374,colocation,4
S0450,S0035,cours_partage,3
S0179,S0009,colocation,1
S0428,S0241,amitie,2
S0342,S0382,cours_partage,3
S0041,S0140,cours_partage,2
S0010,S0249,amitie,3
S0015,S0181,amitie,3
S0104,S0308,amitie,2
S0073,S0156,amitie,4
S0471,S0274,amitie,2
S0273,S0282,cours_partage,4
S0390,S0471,colocation,2
S0216,S0133,amitie,4
S0048,S0430,cours_partage,4
S0118,S0112,colocation,4
S0102,S0495,cours_partage,1
S0221,S0226,amitie,4
S0022,S0353,colocation,3
S0101,S0034,amitie,2
S0111,S0165,amitie,1
S0128,S0341,cours_partage,4
S0095,S0043,amitie,2
S0456,S0473,amitie,1
S0057,S0239,cours_partage,3
S0139,S0280,amitie,3
S0476,S0154,cours_partage,2
S0489,S0000,cours_partage,1
S0013,S0375,amitie,2
S0098,S0113,cours_partage,3
S0258,S0128,colocation,4
S0000,S0284,colocation,4
S0410,S0380,amitie,4
S0199,S0260,amitie,2
S0262,S0192,amitie,3
S0353,S0350,cours_partage,3
S0237,S0325,amitie,2
S0370,S0308,amitie,1
S0081,S0217,colocation,4
S0476,S0035,amitie,4
S0385,S0495,amitie,2
S0028,S0457,amitie,2
S0294,S0164,amitie,2
S0424,S0343,amitie,1
S0375,S0140,cours_partage,4
S0353,S0354,amitie,1
S0222,S0291,amitie,4
S0464,S0115,amitie,4
S0049,S0463,amitie,3
S0010,S0220,cours_partage,3
S0318,S0019,amitie,1
S0237,S0259,amitie,4
S0305,S0402,colocation,2
S0391,S0409,amitie,3
S0083,S0375,amitie,2
S0046,S0205,cours_partage,3
S0421,S0183,amitie,2
S0075,S0425,colocation,1
S0058,S0345,amitie,3
S0460,S0028,amitie,1
S0458,S0015,amitie,1
S0106,S0113,amitie,1
S0317,S0090,cours_partage,2
S0027,S0341,colocation,4
S0044,S0007,amitie,2
S0060,S0138,cours_partage,1
S0019,S0074,amitie,1
S0353,S0007,cours_partage,4
S0351,S0165,amitie,4
S0118,S0425,amitie,4
S0248,S0055,amitie,4
S0225,S0103,amitie,3
S0070,S0067,amitie,2
S0089,S0013,amitie,1
S0243,S0437,amitie,1
S0261,S0412,cours_partage,3
S0091,S0037,cours_partage,3
S0240,S0375,colocation,3
S0321,S0214,cours_partage,1
S0181,S0498,cours_partage,2
S0093,S0018,amitie,3
S0308,S0373,amitie,2
S0439,S0467,amitie,2
S0143,S0357,amitie,4
S0464,S0296,cours_partage,2
S0262,S0431,amitie,3
S0377,S0461,colocation,2
S0061,S0126,colocation,4
S0016,S0193,amitie,1
S0351,S0317,amitie,1
S0385,S0329,amitie,2
S0420,S0201,colocation,3
S0190,S0153,cours_partage,1
S0169,S0184,amitie,1
S0338,S0272,cours_partage,3
S0032,S0222,amitie,2
S0076,S0047,amitie,1
S0173,S0148,colocation,3
S0038,S0491,cours_partage,4
S0371,S0497,amitie,2
S0104,S0216,amitie,1
S0401,S0199,amitie,1
S0123,S0248,amitie,3
S0051,S0084,amitie,3
S0141,S0333,cours_partage,2
S0070,S0320,amitie,2
S0225,S0106,amitie,2
S0462,S0399,colocation,4
S0258,S0413,colocation,1
S0018,S0485,amitie,2
S0111,S0413,cours_partage,3
S0239,S0208,colocation,3
S0004,S0134,amitie,3
S0258,S0119,cours_partage,3
S0290,S0332,amitie,3
S0007,S0422,amitie,2
S0480,S0259,colocation,2
S0336,S0227,cours_partage,3
S0129,S0099,amitie,3
S0321,S0071,amitie,1
S0328,S0239,amitie,2
S0070,S0274,colocation,4
S0486,S0366,amitie,1
S0084,S0193,amitie,3
S0267,S0450,cours_partage,3
S0483,S0390,colocation,4
S0226,S0397,amitie,2
S0245,S0206,amitie,4
S0318,S0353,amitie,1
S0413,S0351,colocation,3
S0293,S0029,cours_partage,2
S0394,S0380,cours_partage,4
S0160,S0352,amitie,3
S0372,S0332,amitie,3
S0179,S0082,cours_partage,3
S0347,S0056,colocation,4
S0217,S0090,amitie,3
S0218,S0165,amitie,4
S0397,S0413,amitie,4
S0054,S0150,cours_partage,4
S0017,S0203,colocation,3
S0321,S0362,amitie,3
S0489,S0108,colocation,3
S0265,S0024,amitie,1
S0234,S0460,amitie,1
S0303,S0155,colocation,1
S0288,S0019,amitie,3
S0404,S0130,cours_partage,4
S0467,S0325,cours_partage,3
S0174,S0059,colocation,2
S0375,S0497,cours_partage,4
S0165,S0082,colocation,4
S0051,S0134,colocation,3
S0273,S0251,amitie,4
S0327,S0135,amitie,2
S0212,S0089,amitie,3
S0240,S0225,colocation,4
S0156,S0172,amitie,3
S0149,S0268,colocation,1
S0487,S0489,amitie,2
S0478,S0253,cours_partage,4
S0495,S0282,cours_partage,2
S0484,S0456,amitie,4
S0487,S0018,amitie,3
S0317,S0180,cours_partage,1
S0258,S0427,amitie,2
S0189,S0424,amitie,1
S0346,S0271,colocation,2
S0232,S0215,amitie,2
S0411,S0454,cours_partage,2
S0324,S0153,amitie,1
S0213,S0336,amitie,3
S0485,S0056,cours_partage,3
S0270,S0157,amitie,4
S0491,S0446,cours_partage,1
S0227,S0379,amitie,1
S0474,S0208,amitie,2
S0309,S0233,cours_partage,2
S0162,S0376,amitie,2
S0336,S0316,amitie,2
S0223,S0118,colocation,4
S0080,S0066,amitie,4
S0081,S0269,colocation,4
S0405,S0175,cours_partage,4
S0411,S0132,colocation,3
S0365,S0142,amitie,1
S0324,S0246,cours_partage,2
S0266,S0427,cours_partage,4
S0235,S0189,amitie,3
S0217,S0222,cours_partage,2
S0219,S0431,amitie,1
S0176,S0430,amitie,2
S0058,S0499,colocation,3
S0146,S0275,cours_partage,2
S0304,S0203,amitie,2
S0037,S0377,amitie,3
S0477,S0269,amitie,1
S0397,S0446,amitie,3
S0363,S0088,colocation,2
S0275,S0331,amitie,2
S0159,S0348,cours_partage,1
S0449,S0385,amitie,1
S0194,S0199,cours_partage,4
S0218,S0343,cours_partage,1
S0110,S0269,amitie,4
S0294,S0153,cours_partage,3
S0386,S0308,amitie,4
S0322,S0444,colocation,1
S0267,S0422,colocation,2
S0152,S0021,amitie,4
S0232,S0224,amitie,4
S0256,S0370,colocation,2
S0494,S0130,colocation,2
S0110,S0015,amitie,3
S0134,S0155,colocation,1
S0180,S0351,cours_partage,4
S0129,S0371,amitie,4
S0132,S0070,amitie,1
S0292,S0466,amitie,4
S0410,S0346,colocation,3
S0294,S0148,cours_partage,2
S0332,S0224,cours_partage,3
S0094,S0242,amitie,3
S0326,S0103,cours_partage,2
S0198,S0081,amitie,4
S0487,S0439,amitie,1
S0403,S0455,cours_partage,1
S0315,S0156,amitie,1
S0014,S0308,colocation,3
S0201,S0263,amitie,3
S0352,S0316,colocation,3
S0147,S0079,amitie,2
S0261,S0082,amitie,3
S0446,S0037,amitie,3
S0051,S0110,cours_partage,4
S0244,S0171,amitie,4
S0388,S0249,cours_partage,2
S0421,S0489,amitie,1
S0366,S0083,amitie,4
S0126,S0331,amitie,3
S0290,S0238,colocation,1
S0283,S0260,amitie,4
S0340,S0345,cours_partage,3
S0486,S0071,amitie,1
S0411,S0219,cours_partage,4
S0443,S0143,colocation,3
S0488,S0258,cours_partage,3
S0082,S0350,amitie,3
S0441,S0414,amitie,1
S0247,S0448,cours_partage,1
S0195,S0177,amitie,4
S0229,S0245,amitie,2
S0487,S0096,cours_partage,1
S0312,S0258,cours_partage,4
S0286,S0393,amitie,1
S0355,S0457,cours_partage,4
S0271,S0205,amitie,4
S0223,S0132,amitie,3
S0404,S0318,amitie,1
S0163,S0332,amitie,3
S0024,S0184,colocation,3
S0210,S0492,colocation,2
S0063,S0284,amitie,3
S0044,S0079,amitie,2
S0058,S0012,amitie,2
S0156,S0399,colocation,2
S0419,S0307,amitie,3
S0268,S0368,amitie,2
S0181,S0047,cours_partage,2
S0306,S0121,cours_partage,2
S0309,S0108,amitie,4
S0135,S0257,cours_partage,4
S0027,S0364,colocation,2
S0107,S0061,colocation,3
S0347,S0481,amitie,2
S0236,S0423,amitie,3
S0120,S0037,amitie,3
S0479,S0491,cours_partage,4
S0170,S0311,cours_partage,1
S0364,S0347,amitie,3
S0153,S0361,cours_partage,1
S0315,S0151,amitie,3
S0223,S0353,amitie,3
S0283,S0067,cours_partage,1
S0353,S0049,colocation,2
S0456,S0298,amitie,2
S0353,S0387,amitie,4
S0036,S0489,colocation,4
S0420,S0080,cours_partage,2
S0103,S0443,cours_partage,2
S0269,S0153,cours_partage,4
S0034,S0175,amitie,4
S0010,S0011,amitie,3
S0317,S0005,cours_partage,3
S0007,S0072,amitie,4
S0213,S0417,amitie,3
S0221,S0288,amitie,1
S0109,S0375,amitie,4
S0454,S0053,amitie,4
S0452,S0367,colocation,1
S0041,S0248,colocation,2
S0356,S0093,amitie,4
S0435,S0279,amitie,3
S0044,S0411,colocation,4
S0491,S0461,colocation,1
S0402,S0219,amitie,3
S0361,S0344,amitie,4
S0402,S0356,colocation,1
S0340,S0300,amitie,3
S0030,S0362,amitie,1
S0013,S0331,cours_partage,1
S0303,S0324,amitie,2
S0001,S0335,amitie,4
S0169,S0152,amitie,1
S0159,S0327,amitie,4
S0372,S0375,amitie,4
S0495,S0192,cours_partage,2
S0300,S0077,amitie,3
S0381,S0352,amitie,3
S0107,S0282,amitie,2
S0236,S0323,amitie,1
S0437,S0365,cours_partage,4
S0481,S0257,colocation,4
S0257,S0405,colocation,3
S0111,S0218,amitie,2
S0460,S0440,amitie,1
S0385,S0363,amitie,2
S0101,S0430,cours_partage,1
S0464,S0350,amitie,4
S0198,S0380,amitie,4
S0087,S0278,amitie,3
S0477,S0467,colocation,3
S0463,S0146,amitie,2
S0447,S0494,colocation,3
S0041,S0150,colocation,2
S0396,S0134,amitie,4
S0359,S0310,colocation,2
S0270,S0002,colocation,4
S0404,S0230,cours_partage,1
S0441,S0130,cours_partage,2
S0285,S0422,amitie,3
S0271,S0060,colocation,2
S0014,S0463,cours_partage,1
S0351,S0189,colocation,1
S0493,S0278,amitie,2
S0237,S0346,amitie,2
S0269,S0164,amitie,1
S0319,S0241,colocation,3
S0445,S0277,cours_partage,4
S0050,S0360,amitie,4
S0244,S0408,cours_partage,3
S0116,S0330,amitie,3
S0070,S0086,amitie,2
S0451,S0144,colocation,1
S0259,S0359,colocation,2
S0145,S0346,amitie,4
S0474,S0095,amitie,1
S0499,S0036,amitie,3
S0157,S0311,amitie,2
S0267,S0226,colocation,2
S0266,S0382,amitie,3
S0072,S0258,cours_partage,3
S0132,S0427,colocation,4
S0044,S0037,amitie,4
S0219,S0416,colocation,1
S0215,S0420,amitie,3
S0372,S0173,colocation,4
S0339,S0308,amitie,3
S0410,S0010,amitie,3
S0340,S0170,cours_partage,2
S0334,S0252,amitie,4
S0388,S0241,amitie,1
S0331,S0347,amitie,2
S0407,S0493,amitie,3
S0223,S0387,amitie,2
S0062,S0374,cours_partage,4
S0365,S0190,amitie,4
S0088,S0376,colocation,1
S0331,S0006,amitie,1
S0447,S0288,amitie,2
S0429,S0275,amitie,1
S0164,S0071,amitie,2
S0469,S0430,amitie,3
S0239,S0113,amitie,3
S0021,S0229,cours_partage,4
S0168,S0051,colocation,2
S0064,S0129,amitie,3
S0358,S0454,colocation,3
S0161,S0439,amitie,3
S0263,S0442,amitie,3
S0185,S0278,amitie,3
S0498,S0278,cours_partage,2
S0495,S0086,amitie,1
S0210,S0269,amitie,4
S0165,S0388,cours_partage,1
S0297,S0129,colocation,4
S0013,S0144,amitie,1
S0435,S0026,cours_partage,1
S0423,S0371,amitie,1
S0284,S0034,amitie,4
S0366,S0252,amitie,1
S0129,S0384,amitie,2
S0224,S0440,colocation,2
S0251,S0174,colocation,3
S0227,S0070,cours_partage,4
S0373,S0248,colocation,1
S0093,S0145,amitie,3
S0128,S0040,amitie,1
S0073,S0235,colocation,1
S0434,S0453,colocation,4
S0399,S0456,amitie,2
S0346,S0305,cours_partage,4
S0054,S0198,amitie,2
S0439,S0221,cours_partage,2
S0169,S0305,amitie,3
S0080,S0493,amitie,3
S0289,S0455,amitie,4
S0414,S0005,amitie,4
S0469,S0363,amitie,3
S0353,S0058,amitie,2
S0332,S0152,colocation,3
S0419,S0249,amitie,1
S0114,S0103,amitie,4
S0377,S0136,amitie,4
S0305,S0343,amitie,3
S0342,S0324,colocation,2
